nct_id,title,status,lead_sponsor,allocation,collaborator_count,collaborators,enrollment,intervention_model,lead_sponsor_class,lead_sponsor_type,masking,phase,primary_purpose,study_type
NCT00550329,Bioequivalence Study Of Glucotrol XL 2.5 Mg Tablets,COMPLETED,Pfizer,,0,,32,,INDUSTRY,company,,,,OBSERVATIONAL
NCT03115112,Safety and Efficacy of Bexagliflozin Compared to Sitagliptin as Add-on Therapy to Metformin in Type 2 Diabetes Subjects,COMPLETED,Theracos,RANDOMIZED,0,,386,PARALLEL,INDUSTRY,company,QUADRUPLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT00984867,Dapagliflozin DPPIV Inhibitor add-on Study,COMPLETED,AstraZeneca,RANDOMIZED,1,Bristol-Myers Squibb,833,PARALLEL,INDUSTRY,company,QUADRUPLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT01238978,Phase 4 Study in the Elderly Patients With T2DM,COMPLETED,Novartis,RANDOMIZED,0,,46,PARALLEL,INDUSTRY,company,NONE,PHASE4,TREATMENT,INTERVENTIONAL
NCT01215435,Comparison of Two Biphasic Insulin Aspart 30 Treatment Regimens in Subjects With Type 2 Diabetes Not Achieving HbA1c Treatment Targets on OADs Alone,COMPLETED,Novo Nordisk A/S,RANDOMIZED,0,,245,PARALLEL,INDUSTRY,company,NONE,PHASE4,TREATMENT,INTERVENTIONAL
NCT06604871,Safety Evaluation of MiniMed™ 780G System With DS5 CGM in Children,COMPLETED,"Medtronic MiniMed, Inc.",NA,0,,56,SINGLE_GROUP,INDUSTRY,company,NONE,NA,TREATMENT,INTERVENTIONAL
NCT01318135,Long-term Safety Study of Alogliptin Used in Combination With Sulfonylurea or Metformin in Participants With Type 2 Diabetes in Japan,COMPLETED,Takeda,RANDOMIZED,0,,576,PARALLEL,INDUSTRY,company,NONE,"PHASE2, PHASE3",TREATMENT,INTERVENTIONAL
NCT03938740,Comparison of Different Insulin Dosing Algorithms Using Hepatic Directed Vesicle-Insulin Lispro and Insulin Degludec,COMPLETED,Diasome Pharmaceuticals,RANDOMIZED,0,,61,PARALLEL,INDUSTRY,company,NONE,PHASE2,TREATMENT,INTERVENTIONAL
NCT06655740,"Safety, Tolerability, and Effectiveness of Duodenal Mucosal RF Vapor Ablation for Insulin Elimination in Type-2 Diabetes",ACTIVE_NOT_RECRUITING,"Aqua Medical, Inc.",NA,0,,16,SINGLE_GROUP,INDUSTRY,company,NONE,NA,TREATMENT,INTERVENTIONAL
NCT07088068,A Study to Investigate Efficacy and Safety of Teplizumab Compared With Placebo in Participants 1 to 25 Years of Age With Stage 3 Type 1 Diabetes,RECRUITING,Sanofi,RANDOMIZED,0,,723,PARALLEL,INDUSTRY,company,QUADRUPLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT00564668,Comparison of Biphasic Insulin Aspart Produced by the NN2000 Process to Current Process to in Type 2 Diabetes,COMPLETED,Novo Nordisk A/S,RANDOMIZED,0,,126,PARALLEL,INDUSTRY,company,DOUBLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT04698018,A Research Study to Look at How Faster Aspart Works in Chinese People With Type 1 Diabetes or Type 2 Diabetes,COMPLETED,Novo Nordisk A/S,RANDOMIZED,0,,23,CROSSOVER,INDUSTRY,company,QUADRUPLE,PHASE1,TREATMENT,INTERVENTIONAL
NCT02201199,Single Dose Clamp Study To Compare Concentration/Time Profile And Metabolic Activity Profile Of 2 New Formulations Of Insulin Glargine With Lantus,COMPLETED,Sanofi,RANDOMIZED,0,,36,CROSSOVER,INDUSTRY,company,DOUBLE,PHASE1,BASIC_SCIENCE,INTERVENTIONAL
NCT00246987,A Trial to Evaluate BMS-298585 as Monotherapy in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control,COMPLETED,Bristol-Myers Squibb,RANDOMIZED,0,,341,PARALLEL,INDUSTRY,company,DOUBLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT02630706,A Study to Evaluate the Efficacy and Safety of Ertugliflozin in Asian Participants With Type 2 Diabetes and Inadequate Glycemic Control on Metformin Monotherapy (MK-8835-012),COMPLETED,Merck Sharp & Dohme LLC,RANDOMIZED,1,Pfizer,506,PARALLEL,INDUSTRY,company,DOUBLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT02928952,Mindful Stress Reduction in Diabetes Self-management Education for Veterans,COMPLETED,VA Office of Research and Development,RANDOMIZED,0,,132,PARALLEL,FED,company,NONE,NA,HEALTH_SERVICES_RESEARCH,INTERVENTIONAL
NCT01969747,Empagliflozin add-on to Insulin in Type 1 Diabetes Mellitus Over 28 Days,COMPLETED,Boehringer Ingelheim,RANDOMIZED,1,Eli Lilly and Company,75,PARALLEL,INDUSTRY,company,DOUBLE,PHASE2,TREATMENT,INTERVENTIONAL
NCT00147758,WelChol® and Sulfonylurea in Treating Patients With Type 2 Diabetes,COMPLETED,Daiichi Sankyo,RANDOMIZED,0,,400,PARALLEL,INDUSTRY,company,DOUBLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT04822948,Study of the Intestinal Microbiota During a Real Life Dietary Intervention in Subjects With Overweight or Obesity,COMPLETED,Integrative Phenomics,,1,RNPC (Rééducation Nutritionnelle et Psycho-Comportementale) Network,1855,,INDUSTRY,company,,,,OBSERVATIONAL
NCT00423501,A Study of a GLP-1 Analogue in Patients With Type 2 Diabetes Treated With Metformin.,COMPLETED,Hoffmann-La Roche,RANDOMIZED,0,,306,PARALLEL,INDUSTRY,company,DOUBLE,PHASE2,TREATMENT,INTERVENTIONAL
NCT01518101,Vildagliptin Versus Liraglutide - Patient Preference After Receiving Both Medications,COMPLETED,Novartis Pharmaceuticals,RANDOMIZED,0,,62,CROSSOVER,INDUSTRY,company,NONE,PHASE4,TREATMENT,INTERVENTIONAL
NCT00147719,WelChol® With Metformin in Treating Patients With Type 2 Diabetes,COMPLETED,Daiichi Sankyo,RANDOMIZED,0,,300,PARALLEL,INDUSTRY,company,DOUBLE,PHASE3,TREATMENT,INTERVENTIONAL
NCT00402909,"Safety and Efficacy of Nateglinide in Patients With Type 2 Diabetes Already Taking Insulin Glargine, Metformin and/or Pioglitazone or Rosiglitazone",COMPLETED,Novartis Pharmaceuticals,RANDOMIZED,0,,28,PARALLEL,INDUSTRY,company,DOUBLE,PHASE4,TREATMENT,INTERVENTIONAL
NCT02135549,Study of the Effectiveness and Safety of SugarDown vs. Placebo in Type 2 Diabetic Subjects Treated With Metformin,COMPLETED,Boston Therapeutics,RANDOMIZED,0,,24,CROSSOVER,INDUSTRY,company,TRIPLE,NA,TREATMENT,INTERVENTIONAL
